cover,title,author,publisher,isbn,timestamp,activity,library,details
https://img3.od-cdn.com/ImageType-100/11618-1/{7CB59C89-43F4-44E9-8277-7C7227C3F8D5}IMG100.JPG,Teenage Mutant Ninja Turtles: Bodycount,Kevin Eastman,"Idea and Design Work, LLC",9781684064922,"February 05, 2025 23:51",Borrowed,Washington County Cooperative Library Services, 21 days 
https://img2.od-cdn.com/ImageType-100/11618-1/{2821D383-DD4F-42E7-874D-2A8CEEAA1992}IMG100.JPG,"Teenage Mutant Ninja Turtles Adventures (1989), Volume 1","","Idea and Design Work, LLC","","February 02, 2025 22:50",Borrowed,Washington County Cooperative Library Services
https://img2.od-cdn.com/ImageType-100/0887-1/{AFE2951B-F554-4733-9847-FB7DB284BB5F}IMG100.JPG,Horrorstör,Grady Hendrix,Blackstone Publishing,9781483049762,"December 02, 2024 14:59",Borrowed,Washington County Cooperative Library Services
https://img2.od-cdn.com/ImageType-100/0293-1/{31C31E3A-EE4F-499F-98F8-5987FBD715D1}IMG100.JPG,The Cabin at the End of the World,Paul Tremblay,HarperCollins,9780062849588,"October 27, 2024 04:45",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/1694-1/{FB936E68-2778-4147-8065-515E7B9A9977}IMG100.JPG,Howl's Moving Castle,Diana Wynne Jones,"Recorded Books, Inc.",9781436186124,"September 12, 2024 23:17",Borrowed,Washington County Cooperative Library Services
https://img2.od-cdn.com/ImageType-100/5054-1/{7C0CD4CC-A0D6-4E29-9BED-2B6EDEDD1D0F}IMG100.JPG,The Woman in Me,Britney Spears,Simon & Schuster Audio,9781797159515,"June 01, 2024 14:08",Borrowed,Washington County Cooperative Library Services
https://img2.od-cdn.com/ImageType-100/1191-1/{4AB9E81B-6316-4144-9CFA-2FEF90275BB8}IMG100.JPG,How to Sell a Haunted House,Grady Hendrix,Books on Tape,9780593591833,"May 29, 2024 00:36",Borrowed,Washington County Cooperative Library Services
https://img2.od-cdn.com/ImageType-100/5054-1/{8A6C7499-FC93-4ACB-A72E-FF3A85DED1A6}IMG100.JPG,I'm Glad My Mom Died,Jennette McCurdy,Simon & Schuster Audio,9781797147949,"May 17, 2024 16:15",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/0887-1/{4E86288D-563D-4FD9-B3DB-D073BE11A2C1}IMG100.JPG,We Sold Our Souls,Grady Hendrix,Blackstone Publishing,9781982527976,"May 14, 2024 12:42",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/1694-1/{4456BD6C-F0C4-4C7B-80E9-6BD545931BE7}IMG100.JPG,Gideon the Ninth,Tamsyn Muir,"Recorded Books, Inc.",9781980004905,"January 18, 2023 18:58",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/0293-1/{E7C71FE6-D3ED-459F-87E6-E4868F92CD4A}Img100.jpg,"The Long Way to a Small, Angry Planet",Becky Chambers,HarperCollins,9780062969538,"September 12, 2022 16:13",Borrowed,Washington County Cooperative Library Services
